"","Review #","Brand","Variety","Style","Country","Stars","Top Ten"
"63",2518,"Samurai Ramen","Umami Ramen","Pack","Japan","4",NA
"64",2517,"Ikeda Shoku","Nabeyaki Tempura Udoin","Bowl","Japan","4.5",NA
"65",2516,"Fujiwara","Hokkaido Hakodate Miso Ramen","Pack","Japan","3.5",NA
"66",2515,"Uni-President","Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","Taiwan","5",NA
"67",2514,"Ogasawara","Kirin Giraffe Shoyu Ramen","Pack","Japan","4.5",NA
"68",2513,"Pringles","Nissin Top Ramen Chicken Flavor Potato Crisps","Can","USA","3.5",NA
"69",2512,"Mom's Dry Noodle","Dan Dan Noodle","Pack","Taiwan","5",NA
"70",2511,"Samyang","Samyang Ramen Classic Edition","Bowl","South Korea","5",NA
"71",2510,"MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia","5",NA
"72",2509,"Maggi","Hot Heads Green Chilli Noodles","Pack","India","3.5",NA
"73",2508,"Samyang","Mala Buldak Bokkeummyun","Pack","South Korea","3.75",NA
"74",2507,"Indomie","RMy Noodlez Rumput Laut","Pack","Indonesia","4",NA
"75",2506,"Koka","Delight Chicken Flavor Instant Non-Fried Noodles","Pack","Singapore","3.75",NA
"76",2505,"Acecook","Super Cup Torigawa Shoyu","Bowl","Japan","3.5",NA
"77",2504,"Nongshim","Shin Ramyun","Pack","South Korea","3",NA
"78",2503,"Sichuan Guangyou","Sweet Potato Instant Noodle Sout-Hot Flavor","Bowl","China","0",NA
"79",2502,"Indomie","Onion Chicken Flavor","Pack","Nigeria","1.5",NA
"80",2501,"Happy Cook","Toona Paste Noodle","Pack","Taiwan","4",NA
"81",2500,"The Ramen Rater Select","Supreme Creamy Tom Yum Noodle","Box","Malaysia","5",NA
"82",2499,"Koka","Creamy Soup With Crushed Noodles Chicken Flavor","Cup","Singapore","5",NA
"83",2498,"Nissin","Demae Ramen Spicy Beef","Pack","Germany","3.75",NA
"84",2497,"Nissin","Cup Noodles Spicy","Cup","Germany","3.75",NA
"85",2496,"Nissin","Soba Thai","Pack","Germany","4.5",NA
"86",2495,"Nissin","Cup Noodles Huhn (Chicken)","Cup","Germany","3.75",NA
"87",2494,"Nissin","Demae Ramen Korean Kimchi","Pack","Germany","3.5",NA
"88",2493,"Nissin","Cup Noodles Curry","Cup","Germany","3.75",NA
"89",2492,"Nissin","Smack Chili","Pack","Hungary","3.75",NA
"90",2491,"Nissin","Soba Yakitori Chicken","Cup","Germany","5",NA
"91",2490,"Nissin","Demae Ramen Garlic Chicken","Pack","Germany","3.5",NA
"92",2489,"Nissin","Cup Noodles Ente (Duck)","Cup","Germany","3",NA
"93",2488,"Nissin","Demae Ramen Thai Tom Yum","Pack","Germany","3.75",NA
"94",2487,"Nissin","Soba Sukiyaki Beef","Cup","Germany","4.5",NA
"95",2486,"Nissin","Demae Ramen Spicy","Pack","Germany","3.5",NA
"96",2485,"Nissin","Cup Noodles Shrimps","Cup","Germany","3",NA
"97",2484,"Nissin","Demae Ramen Tokyo Soy Sauce","Pack","Germany","4",NA
"98",2483,"Paldo","Bul Jjamppong","Bowl","South Korea","5",NA
"99",2482,"TTL","Chicken With Chinese Shaoxing Wine","Pack","Taiwan","4.75",NA
"100",2481,"Samyang","Buldak Bokkeummyun","Cup","South Korea","3.75",NA
"101",2480,"Acecook","Pork Wantan Men","Bowl","Japan","4.25",NA
"102",2479,"E-Zee","Instant Noodles Chicken Flavour","Pack","Malaysia","4",NA
"103",2478,"Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Pack","Taiwan","5",NA
"104",2477,"Kiki Noodle","Sichuan Spices Flavor Noodle","Pack","Taiwan","5",NA
"105",2476,"Samyang","Kimchi Stew Ramyun","Bowl","South Korea","4",NA
"106",2475,"Maruchan","Seimen Red Spicy Dandan Men","Bowl","Japan","4.75",NA
"107",2474,"Ottogi","Ppushu Ppushu Noodle Snack Chilli Cheese Flavor","Pack","South Korea","4.25",NA
"108",2473,"Tokyo Noodle","Mini Instant Noodle Mild Curry Flavor","Pack","Japan","2",NA
"109",2472,"GGE","Noodle Snack Wheat Cracks Seaweed Flavor","Pack","Taiwan","3.5",NA
"110",2471,"Nissin","Cup Noodles Mini Seafood Flavour","Cup","Hong Kong","5",NA
"111",2470,"Myojo","Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor","Pack","USA","3.75",NA
"112",2469,"Koka","Signature Curry Flavor Instant Noodles","Cup","Singapore","3.5",NA
"113",2468,"Acecook","Dossari Yasai Chanpon","Cup","Japan","4.25",NA
"114",2467,"Paldo","Volcano Curry Kkokkomyun","Pack","South Korea","3.5",NA
"115",2466,"Sau Tao","Instant Noodle King Pepper Duck Flavour Soup","Pack","Hong Kong","4",NA
"116",2465,"Nissin","Cup Noodles XO Sauce Seafood","Cup","China","3.75",NA
"117",2464,"Wang","Extreme Spicy Hot Chicken Flavor Udon","Bowl","South Korea","2",NA
"118",2463,"Nissin","Gekikara Ramen Rasa Pedas","Pack","Indonesia","3.25",NA
"119",2462,"TTL","Sesame Oil Chicken Noodle With Rice Wine","Bowl","Taiwan","5",NA
"120",2461,"Fujiwara","Hokkaido Hakodate Shio Ramen","Pack","Japan","4.5",NA
"121",2460,"Daifuku","Katsuo Bowl Udon","Bowl","USA","5",NA
"122",2459,"Nissin","Cup Noodles MUG Shoyu & Seafood","Pack","Japan","3.5",NA
"123",2458,"Samyang","Sari Ramen","Pack","South Korea","Unrated",NA
"124",2457,"Koka","Instant Noodles Chicken Satay Flavour","Pack","Singapore","3.5",NA
"125",2456,"Koka","Signature Spicy Singapore Fried Noodles Instant Noodles","Pack","Singapore","4.25",NA
"126",2455,"Koka","Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","Singapore","5",NA
"127",2454,"Koka","Silk Beef Pho Flavor Instant Rice Fettuccine","Bowl","Singapore","3.25",NA
"128",2453,"Koka","Delight Spicy Sesame Flavor Instant Non-Fried Noodles","Pack","Singapore","4.5",NA
"129",2452,"Koka","Signature Laksa Singapura Instant Noodles","Bowl","Singapore","5",NA
"130",2451,"Koka","Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles","Pack","Singapore","5",NA
"131",2450,"Koka","Purple Wheat Noodles Chili & Lime Flavor","Pack","Singapore","4",NA
"132",2449,"Koka","Delight Tomato Flavor Instant Non-Fried Noodles","Pack","Singapore","5",NA
"133",2448,"Koka","Seafood Flavor Instant Noodles","Cup","Singapore","3.5",NA
"134",2447,"Koka","Signature Stir-Fry Original Flavor Instant Noodles","Pack","Singapore","3",NA
"135",2446,"Koka","Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","Singapore","5",NA
"136",2445,"Koka","Delight Laksa Singapura Flavor Instant Non-Fried Noodles","Pack","Singapore","4.25",NA
"137",2444,"Koka","Silk Spicy Marinara Instant Rice Fettuccine","Bowl","Singapore","5",NA
"138",2443,"Koka","Signature Chicken Flavor Instant Noodles","Cup","Singapore","3.75",NA
"139",2442,"Nissin","Cup Noodles Sopa Nissin Hot Sauce Con Camaron","Cup","Mexico","3.5",NA
"140",2441,"MyKuali","Penang Hokkien Prawn Flavor Noodle","Box","Japan","5",NA
"141",2440,"Master Kong","Roasted Pork Noodle","Pack","China","4.5",NA
"142",2439,"Uni-President","Man Han Feast Super Hot Pot Beef Flavor Instant Noodles","Bowl","Taiwan","5",NA
"143",2438,"World O' Noodle","Mi Goreng Original Flavour Fried Noodles","Pack","Indonesia","5",NA
"144",2437,"Nissin","Raoh Nojyuku Toro Tonkotsu Ramen","Bowl","Japan","4.5",NA
"145",2436,"Kang Shi Fu","Artificial Dongpo's Braised Pork Flavour","Pack","Hong Kong","4.75",NA
"146",2435,"Mum Ngon","Lau Tom Chua Cay","Pack","Vietnam","3.5",NA
"147",2434,"Happy Cook","Old Beijing Fried Bean Sauce Noodle","Pack","Taiwan","4.25",NA
"148",2433,"Nissin","Cup Noodles Indonesia Mie Goreng","Cup","Japan","3.75",NA
"149",2432,"Fashion Food","Yummy Spicy Rice Soup With Seafood","Bowl","Thailand","3.5",NA
"150",2431,"Dream Kitchen","Udon Japanese Style Fresh Noodle","Bowl","USA","3.75",NA
"151",2430,"MyKuali","MeeKuali Bihun Sup Rempah Perisa Daging","Pack","Malaysia","5",NA
"152",2429,"New Touch","T's Restaurant Sura Tanmen","Cup","Japan","4",NA
"153",2428,"TTL","Sesame Oil Chicken With Rice Wine Noodle","Bowl","Taiwan","5",NA
"154",2427,"Ajinatori","HALAL Chicken Shoyu Sauce Ramen","Pack","Japan","2.5",NA
"155",2426,"Dr. McDougall's","Vegan Pad Thai Noodle Soup","Cup","USA","0",NA
"156",2425,"Nissin","Seafood Flavour Rice Vermicelli","Cup","Hong Kong","5",NA
"157",2424,"Samyang","Cheese Type Buldak Bokkeummyun (Black Pkg)","Pack","South Korea","3.75",NA
"158",2423,"Ve Wong","Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor","Pack","Taiwan","3.5",NA
"159",2422,"Nissin","Cup Noodles Sopa Nissin Con Camaron Picante","Cup","Mexico","3.25",NA
"160",2421,"Uni-President","Baseball Snack Noodle","Pack","Taiwan","5",NA
"161",2420,"Nissin","Cup Noodles Spicy Seafood Flavor","Cup","China","3.75",NA
"162",2419,"MyKuali","Penang Red Tom Yum Goong","Box","Japan","5",NA
"163",2418,"Myojo","Yomise No Yakisoba Karashi Mentaiko Flavor","Tray","Japan","4.5",NA
"164",2417,"Super Bihun","Bihun Kuah Rasa Baso Sapi","Pack","Indonesia","3.75",NA
"165",2416,"Xiuhe","Hot & Sour Beef Noodles","Bowl","China","4.25",NA
"166",2415,"Nissin","Kitsune Udon Donbei (West)","Bowl","Japan","5",NA
"167",2414,"Little Cook","Thailand Green Curry Instant Noodle","Bowl","Taiwan","5",NA
"168",2413,"Nissin","Cup Noodles Beef Flavour","Cup","Hong Kong","2.5",NA
"169",2412,"Shirakiku","Sanukiya Udon Shrimp Flavor","Pack","USA","3.25",NA
"170",2411,"Mama Pat's","Chicken Fajita Flavor Instant Ramen Noodles","Pack","USA","3.75",NA
"171",2410,"Mama Pat's","Lamb Stew Flavor Instant Ramen Noodles","Pack","USA","3.75",NA
"172",2409,"Mama Pat's","Seafood Gumbo Flavor Instant Ramen Noodles","Pack","USA","3.5",NA
"173",2408,"Mama Pat's","Chicken Taco Flavor Instant Ramen Noodles","Pack","USA","3.75",NA
"174",2407,"Just Way","Chuan Wei Spicy Guan-miao Noodles","Pack","Taiwan","4.5",NA
"175",2406,"Sichuan Guangyou","Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor","Pack","China","0.25",NA
"176",2405,"Nissin","Cup Noodles Mini Spicy Seafood","Cup","Hong Kong","4",NA
"177",2404,"MyKuali","Penang Hokkien Prawn Noodle Soup","Pack","Singapore","5",NA
"178",2403,"Goku Uma","Yakisoba Japanese Style Noodle","Bowl","USA","4.75",NA
"179",2402,"Maggi","Nutri-licious Pazzta Tomato Twist","Pack","India","3.75",NA
"180",2401,"Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Bowl","China","5",NA
"181",2400,"Nissin","Cup Noodles Tom Yam Seafood Flavour","Cup","Singapore","5",NA
"182",2399,"Indomie","My Noodles Mi Goreng Pizza Cheese","Pack","Indonesia","4",NA
"183",2398,"Liang Cheng Mai","Shaanxi Cold Noodle: Mustard Spicy","Tray","China","1",NA
"184",2397,"Samyang","Cheese Buldak Bokkeummyun (Black)","Bowl","South Korea","4",NA
"185",2396,"Maggi","2 Minute Noodles Chicken Flavour","Pack","Fiji","3.25",NA
"186",2395,"Master Kong","Chicken Flavor Instant Noolde","Pack","China","4.25",NA
"187",2394,"Nissin","Cup Noodles Prawn Flavour","Cup","Hong Kong","3.75",NA
"188",2393,"Ripe'n'Dry","Hokkaido Miso Ramen","Pack","Japan","3",NA
"189",2392,"MyKuali","Penang Red Tom Yum Goong Rice Vermicelli Soup","Bowl","Malaysia","5",NA
"190",2391,"Ottogi","Jin Jjambbong Spicy Seafood Ramyun","Pack","South Korea","5",NA
"191",2390,"Nissin","Rice Vermicelli Pickled Vegetable Pork Flavour","Cup","Hong Kong","3.75",NA
"192",2389,"Gefen","Imitation Chicken Flavor","Cup","USA","4",NA
"193",2388,"Hua Feng","Three Fresh Delicacies Instant Noodle","Pack","China","4.25",NA
"194",2387,"Nissin","Demae Iccho Sesame Oil Flavour Instant Noodle","Bowl","Hong Kong","3.5",NA
"195",2386,"Maggi","2 Minute Noodles Curry Flavour","Pack","Fiji","4",NA
"196",2385,"Uni-President","Man Han Feast Chilli Beef Flavor Instant Noodles","Bowl","Taiwan","4.75",NA
"197",2384,"Sichuan Guangyou","9999 Chongqing Artificial Beef Flavor Instant Noodle","Pack","China","4.25",NA
"198",2383,"Nissin","Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe)","Cup","USA","3.5",NA
"199",2382,"Nongshim","Seaweed Instant Noodle","Cup","South Korea","0.5",NA
"200",2381,"Nissin","Demae Iccho Seafood Flavour Instant Noodle","Cup","Hong Kong","4.75",NA
"201",2380,"Pulmuone","Non-Fried Ramyun With Spicy Beef Broth","Pack","South Korea","3.75",NA
"202",2379,"Nissin","Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe)","Cup","USA","2.5",NA
"203",2378,"Sau Tao","Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured","Pack","Hong Kong","4.5",NA
"204",2377,"MyKuali","Penang White Curry Instant Noodle (Japan Version)","Box","Malaysia","5",NA
"205",2376,"Nissin","Disney Cuties Instant Chicken With Corn Flavour","Cup","Thailand","3.25",NA
"206",2375,"Uni-President","Man Han Feast Braised Pork Flavor Instant Noodles","Bowl","Taiwan","5",NA
"207",2374,"World O' Noodle","Mi Goreng Garlic Flavour Fried Noodles","Pack","Indonesia","4.5",NA
"208",2373,"Nissin","Top Ramen Atta Nooldes Masala","Pack","India","4.5",NA
"209",2372,"Liu Quan","Instant Spicy Rice Noodle","Bowl","China","4",NA
"210",2371,"Daikoku","Tanuki Soba","Cup","Japan","3.5",NA
"211",2370,"Samyang","Zzaldduck Buldak Bokkeummyun Snack","Pack","South Korea","4.5",NA
"212",2369,"Samyang","Curry Buldak Bokkeummyun","Pack","South Korea","4.25",NA
"213",2368,"Samyang","Cool/Ice Buldak Bokkeummyun","Pack","South Korea","3.75",NA
"214",2367,"Samyang","2x Spicy Haek Buldak Bokkeummyun","Pack","South Korea","4",NA
"215",2366,"Samyang","Buldak Bokkeummyun Snack","Pack","South Korea","5",NA
"216",2365,"Samyang","Stew Buldak Bokkeumtangmyun","Pack","South Korea","5",NA
"217",2364,"Samyang","Cheese Buldak Bokkeummyun","Pack","South Korea","4",NA
"218",2363,"Samyang","Buldak Bokkeummyun (New Packaging)","Pack","South Korea","4",NA
"219",2362,"Chuan Wei Wang","Bowl Instant Noodles Artificial Spicy Beef Flavor","Bowl","China","4",NA
"220",2361,"Nissin","Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong","5",NA
"221",2360,"Wai Wai","Instant Noodles Artificial Chicken Flavoured","Pack","India","2",NA
"222",2359,"Daikoku","Kitsune Udon","Cup","Japan","2",NA
"223",2358,"Sichuan Baijia","Pickled Cabbage Flavor Instant Vermicelli","Bowl","China","4",NA
"224",2357,"Kamfen","Noodle King Artificial Wonton Soup Flavored","Bowl","Hong Kong","5",NA
"225",2356,"Nongshim","Spicy Shrimp Cup Noodle","Cup","South Korea","4",NA
"226",2355,"Marutai","Nagasaki Agodashi Shoyu Ramen","Pack","Japan","4",NA
"227",2354,"Vifon","Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli","Bowl","Vietnam","5",NA
"228",2353,"Nissin","Cup Noodles Rich Garlic, Egg Yolk & Oxtail","Cup","Japan","4",NA
"229",2352,"Uni-President","Minced Pork Flavor Instant Noodles","Pack","Taiwan","1",NA
"230",2351,"1 To 3 Noodles","Chatpat Masala","Pack","India","4",NA
"231",2350,"Nissin","Cup Noodles BIG XO Sauce Seafood Flavour","Cup","Hong Kong","4",NA
"232",2349,"Fantastic","Noodles Chicken & Corn Flavour","Cup","Australia","3",NA
"233",2348,"Ripe'n'Dry","Hokkaido Salt Ramen","Pack","Japan","3",NA
"234",2347,"Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong","3",NA
"235",2346,"Knorr","Chatt Patta Instant Noodles","Pack","Pakistan","1",NA
"236",2345,"Sempio","Clam Flavor Soup Kal-guksu","Pack","South Korea","5",NA
"237",2344,"Nissin","Cup Noodles Sopa Nissin Sabor A Pollo","Cup","Mexico","4",NA
"238",2343,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne","Cup","Mexico","4",NA
"239",2342,"Nissin","Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen","Pack","Mexico","4",NA
"240",2341,"Nissin","Cup Noodles Sopa Nissin Sabor A Carne De Res","Cup","Mexico","4",NA
"241",2340,"Nissin","RapiFideo Sabor A Tomate Y Pollo","Cup","Mexico","4",NA
"242",2339,"Nissin","Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon","Cup","Mexico","3",NA
"243",2338,"Nissin","Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen","Pack","Mexico","4",NA
"244",2337,"Nissin","Cup Noodles Sopa Nissin Con Camaron","Cup","Mexico","3",NA
"245",2336,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante","Cup","Mexico","3",NA
"246",2335,"Nissin","Cup Noodles Gourmet Sabor A Caldo De Camaron","Cup","Mexico","5",NA
"247",2334,"Nissin","Sopa Nissin Sabor Mariscos, Habanero Y Limon","Cup","Mexico","4",NA
"248",2333,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Pollo","Cup","Mexico","4",NA
"249",2332,"Nissin","Sopa Nissin Sabor A Res Instantanea Tipo Ramen","Pack","Mexico","4",NA
"250",2331,"Nissin","Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo","Cup","Mexico","4",NA
"251",2330,"Ve Wong","Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor","Pack","Taiwan","4",NA
"252",2329,"Patanjali","Atta Noodles Jhatpat Banao Befikr Khao","Pack","India","5",NA
"253",2328,"Qin Zong","Shaanxi Cold Noot Hot & Sour Flavor","Pack","China","3",NA
"254",2327,"Nissin","Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe)","Cup","USA","4",NA
"255",2326,"Nissin","Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle","Cup","Hong Kong","4",NA
"256",2325,"Pran","Mr. Noodles Curry Flavor Instant Noodles","Pack","Bangladesh","4",NA
"257",2324,"Paldo","Bul Jjajangmyeon","Pack","South Korea","5",NA
"258",2323,"Ogasawara","Kirin Giraffe Shio Ramen","Pack","Japan","5",NA
"259",2322,"Sapporo Ichiban","Mie Kamayama Ramen Gyukotsu Misoaji","Bowl","Japan","3",NA
"260",2321,"Sau Tao","Black Pepper XO Sauce Flavour","Bowl","Hong Kong","5",NA
"261",2320,"Nissin","Nupasta Bolognese Flavour Instant Noodle","Cup","Japan","4.00",NA
"262",2319,"Nongshim","Saeutang Sabalmyeon","Bowl","South Korea","3.5",NA
"263",2318,"Happy Cook","Sichuan Spicy Flavor","Pack","Taiwan","5.0",NA
"264",2317,"Mama","Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base","Bowl","Thailand","4",NA
"265",2316,"Nissin","Cup Noodle Spicy Curry Chicken","Cup","Japan","5",NA
"266",2315,"Goku Uma","Ramen Noodles Miso Flavor","Bowl","USA","3",NA
"267",2314,"Nissin","Cup Noodles Spicy Beef Flavour","Cup","Hong Kong","4.00",NA
"268",2313,"Xiao Ban Mian","Sesame Oil With Garlic Flavor Thin Noodle","Pack","Taiwan","3.50",NA
"269",2312,"Xiao Ban Mian","Traditional Shallot & Onion Oil Noodle","Pack","Taiwan","5",NA
"270",2311,"Xiao Ban Mian","Sesame Sauce Matcha Noodle","Pack","Taiwan","3.8",NA
"271",2310,"Pran","Mr. Noodles Instant Noodles Beef Flavour","Pack","Bangladesh","4",NA
"272",2309,"Nissin","Cup Noodles Big Seafood Flavour","Cup","Hong Kong","4",NA
"273",2308,"Fantastic","Noodles Chicken Chow Mein Flavour","Cup","Australia","4",NA
"274",2307,"Ottogi","Ramyun Sabor Pollo","Pack","Mexico","4.00",NA
"275",2306,"Nissin","Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles","Cup","Hong Kong","4.00",NA
"276",2305,"Ajinatori","Chicken Flavor Ramen","Pack","Japan","4",NA
"277",2304,"Maggi","2 Minute Noodles Masala Spicy","Pack","India","5",NA
"278",2303,"Maruchan","Sopa Maruchan Sobar A Camaron","Pack","Mexico","3",NA
"279",2302,"Nissin","Yakisoba","Tray","Japan","5",NA
"280",2301,"Suimin","Noodle With Oriental Chicken Flavour","Cup","Australia","3",NA
"281",2300,"Nissin","Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle","Pack","Hong Kong","4",NA
"282",2299,"Cintan","Mi Segera Mmm... Original","Pack","Malaysia","3",NA
"283",2298,"Nissin","Cup Noodles Spicy Chile Chicken (New Recipe)","Cup","USA","4",NA
"284",2297,"Chuan Wei Wang","Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor","Bowl","China","3",NA
"285",2296,"Suimin","Noodles With Chicken Flavour","Cup","Australia","3",NA
"286",2295,"Nissin","Cup Noodles Seafood","Cup","China","4",NA
"287",2294,"Sapporo Ichiban","Tabimen AizuKitakata Gyokai Shoyu Ramen","Bowl","Japan","4",NA
"288",2293,"Nissin","Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle","Pack","Hong Kong","5",NA
"289",2292,"Sichuan Baijia","Chongqing Noodles Spicy Hot Flavor","Pack","China","5",NA
